"A921";"SÃ£o FÃ©lix do Araguaia";"MT";"-11.619023";"-50.727856";201.37
"A039";"Formoso do Araguaia";"TO";"-11.887377";"-49.608215";215.20
"A019";"Gurupi";"TO";"-11.745782";"-49.049703";279.07
"A038";"DianÃ³polis";"TO";"-11.594448";"-46.847209";727.87
"A415";"Santa Rita de CÃ¡ssia";"BA";"-11.002768";"-44.524965";450.01
"A429";"Barra";"BA";"-11.084858";"-43.138998";407.50
"A424";"IrecÃª";"BA";"-11.328998";"-41.864504";768.42
"A440";"Jacobina";"BA";"-11.205136";"-40.464979";440.78
"A441";"Serrinha";"BA";"-11.664586";"-39.022946";337.79
"A417";"Itabaianinha";"SE";"-11.2725";"-37.795";204.80
"A431";"Conde";"BA";"-11.811939";"-37.616169";5.20
"A938";"Vilhena";"RO";"-12.734862";"-60.157784";583.30
"A927";"Novo Mundo";"MT";"-12.5219";"-58.2314";426.20
"A904";"Sorriso";"MT";"-12.555107";"-55.722863";379.31
"A916";"QuerÃªncia";"MT";"-12.627315";"-52.220891";360.59
"A018";"Peixe";"TO";"-12.015377";"-48.544517";250.87
"A010";"ParanÃ£";"TO";"-12.614893";"-47.871917";284.96
"A404";"Luis Eduardo Magalhaes";"BA";"-12.152394";"-45.829745";760.68
"A402";"Barreiras";"BA";"-12.124715";"-45.027049";474.17
"A439";"Ibotirama";"BA";"-12.193060";"-43.213420";425.12
"A425";"LenÃ§ois";"BA";"-12.557854";"-41.388808";438.09
"A412";"Macajuba";"BA";"-12.131694";"-40.354222";338.85
"A408";"Itaberaba";"BA";"-12.524062";"-40.299714";250.11
"A406";"Cruz das Almas";"BA";"-12.675422";"-39.089580";219.76
"A413";"Feira de Santana";"BA";"-12.196200";"-38.967384";229.64
"A403";"Arembepe";"BA";"-12.762552";"-38.169060";4.87
"A913";"Comodoro";"MT";"-13.708046";"-59.762385";576.87
"A905";"Campo Novo dos Parecis";"MT";"-13.785907";"-57.838485";525.41
"A928";"Nova MaringÃ¡";"MT";"-13.038642";"-57.092200";334.36
"A903";"Sao Jose do Rio Claro";"MT";"-13.453981";"-56.677323";339.59
"A929";"Nova UbiratÃ£";"MT";"-13.411105";"-54.752144";466.48
"A930";"Gaucha do Norte";"MT";"-13.184857";"-53.257366";375.87
"A032";"Monte Alegre de GoiÃ¡s";"GO";"-13.253520";"-46.890326";1253.00
"A416";"Correntina";"BA";"-13.332386";"-44.617376";551.71
"A418";"Bom Jesus da Lapa";"BA";"-13.251094";"-43.405365";447.75
"A430";"PiatÃ£";"BA";"-13.155681";"-41.774125";1283.95
"A407";"ItiruÃ§u";"BA";"-13.527828";"-40.119752";757.42
"A434";"Amargosa";"BA";"-13.009468";"-39.616881";397.80
"A444";"ValenÃ§a";"BA";"-13.34361";"-39.12667";93.12
"A438";"Marau";"BA";"-13.90694";"-38.97222";6.24
"A401";"Salvador";"BA";"-13.005515";"-38.505760";47.56
"A902";"TangarÃ¡ da Serra";"MT";"-14.650117";"-57.431556";440.01
"A915";"Paranatinga";"MT";"-14.421327";"-54.035536";476.91
"A931";"Santo Antonio do Leste";"MT";"-14.927883";"-53.883643";664.21
"A908";"Agua Boa";"MT";"-14.016496";"-52.211690";440.00
"A015";"Itapaci";"GO";"-14.979792";"-49.539977";551.16
"A004";"Niquelandia";"GO";"-14.469358";"-48.485756";663.53
"A024";"Alto Paraiso de Goias";"GO";"-14.133074";"-47.523258";1264.70
"A017";"Posse";"GO";"-14.089210";"-46.366497";830.00
"A526";"Montalvania";"MG";"-14.408228";"-44.404123";519.52
"A426";"Guanambi";"BA";"-14.208056";"-42.748288";554.42
"A543";"Espinosa";"MG";"-14.912284";"-42.808473";565.36
"A433";"Brumado";"BA";"-14.181886";"-41.672281";473.37
"A414";"VitÃ³ria da Conquista";"BA";"-14.886428";"-40.801330";879.38
"A445";"Ipiau";"BA";"-14.171304";"-39.692502";132.11
"A410";"IlhÃ©us";"BA";"-14.658803";"-39.181438";80.21
"A922";"Vila Bela da Santissima Trindade";"MT";"-15.062696";"-59.872921";213.00
"A937";"Pontes de Lacerda";"MT";"-15.234582";"-59.346215";272.53
"A936";"Salto do CÃ©u";"MT";"-15.124811";"-58.127100";300.83
"A935";"Porto Estrela";"MT";"-15.324728";"-57.225845";147.75
"A901";"CuiabÃ¡";"MT";"-15.559295";"-56.062951";241.56
"A912";"Campo Verde";"MT";"-15.531431";"-55.135649";748.27
"A013";"AragarÃ§as";"GO";"-15.902658";"-52.245172";327.35
"A046";"Recanto das Emas";"DF";"-15.935139";"-48.137377";990.00
"A014";"GoiÃ¡s";"GO";"-15.939729";"-50.141433";512.86
"A022";"Goianesia";"GO";"-15.220199";"-48.990107";667.01
"A001";"BrasÃ­lia";"DF";"-15.789343";"-47.925756";1160.96
"A045";"Aguas Emendadas";"DF";"-15.596491";"-47.625800";1030.36
"A544";"Buritis";"MG";"-15.524262";"-46.435536";894.00
"A548";"Chapada Gaucha";"MG";"-15.300159";"-45.617431";873.20
"A539";"Mocambinho";"MG";"-15.085958";"-44.016036";454.00
"A551";"Rio Pardo de Minas";"MG";"-15.723139";"-42.43575";850.06
"A549";"Ãguas Vermelhas";"MG";"-15.751536";"-41.457787";754.07
"A446";"Itapetinga";"BA";"-15.24462";"-40.22955";271.48
"A437";"Una";"BA";"-15.280215";"-39.091270";74.08
"A941";"CÃ¡ceres";"MT";"-16.0744444";"-57.6927778";116.00
"A907";"RondonÃ³polis";"MT";"-16.462419";"-54.580151";289.88
"A932";"Guiratinga";"MT";"-16.341587";"-53.766089";525.43
"A023";"Caiaponia";"GO";"-16.966841";"-51.817567";740.10
"A028";"Ipora";"GO";"-16.423059";"-51.148800";610.41
"A027";"Parauna";"GO";"-16.962536";"-50.425450";678.74
"A002";"Goiania";"GO";"-16.642841";"-49.220222";727.30
"A037";"SilvÃ¢nia";"GO";"-16.679786";"-48.618171";952.00
"A012";"LuziÃ¢nia";"GO";"-16.260542";"-47.966962";1000.82
"A036";"Cristalina";"GO";"-16.784896";"-47.612966";1211.08
"A542";"Unai";"MG";"-16.554101";"-46.881935";640.85
"A547";"SÃ£o RomÃ£o";"MG";"-16.362747";"-45.123801";490.29
"A506";"Montes Claros";"MG";"-16.686316";"-43.843763";645.87
"A552";"Salinas";"MG";"-16.160327";"-42.310266";487.14
"A550";"Itaobim";"MG";"-16.575667";"-41.485588";271.63
